Имя: Валентин Белов Борисович, Дата Рождения: 1996-05-30, Место рождения Ставрополь, Номер паспорта: 4203049
Имя: Георгий Галкин Ярославович, Дата Рождения: 1987-07-23, Место рождения Пангоды, Номер паспорта: 4702003
Имя: Динар Соколов Романович, Дата Рождения: 1992-01-20, Место рождения Октябрьский, Номер паспорта: 6801038
Имя: Устин Козлов Юхимович, Дата Рождения: 1989-08-31, Место рождения Балхаш, Номер паспорта: 4408066
Имя: Иннокентий Моисеев Петрович, Дата Рождения: 1998-08-31, Место рождения Шарыпово, Номер паспорта: 0909067
Имя: Лукьян Мирный Владимирович, Дата Рождения: 1987-12-11, Место рождения Ликино-Дулёво, Номер паспорта: 2811056
Имя: Эдуард Лаврентьев Сергеевич, Дата Рождения: 1980-11-11, Место рождения Кустанай, Номер паспорта: 4203049
Имя: Игнат Котов Михайлович, Дата Рождения: 1997-09-17, Место рождения Стерлитамак, Номер паспорта: 8504047
Имя: Шерлок Пилипейко Сергеевич, Дата Рождения: 1980-06-14, Место рождения Усть-Мая, Номер паспорта: 2010011
Имя: Николай Кошелев Михайлович, Дата Рождения: 1986-12-19, Место рождения Алма-Ата, Номер паспорта: 9508060
Имя: Чеслав Колобов Викторович, Дата Рождения: 1995-08-08, Место рождения Усть-Илимск, Номер паспорта: 9311044
Имя: Жерар Дмитриев Артёмович, Дата Рождения: 1990-03-13, Место рождения Жлобин, Номер паспорта: 4408066
Имя: Святослав Горшков Алексеевич, Дата Рождения: 1992-03-07, Место рождения Орехово-Зуево, Номер паспорта: 5907067
Имя: Феликс Белов Борисович, Дата Рождения: 1983-05-11, Место рождения Пангоды, Номер паспорта: 4604015
